Issuer Name,Theme,Issue Date,Amount Issued,Currency,Amount (USD),Country,Sector,Narrative
Volkswagen AG,Green,2024-11-19,650000000,EUR,690160250,Germany,0,Climate Bonds Aligned - Volkswagen AG. Largest Companies By Revenue (Fortune 500 Global  annual reports and other publicly available information)
Volkswagen AG,Green,2024-11-19,1100000000,EUR,1168367200,Germany,0,Climate Bonds Aligned - Volkswagen AG. Largest Companies By Revenue (Fortune 500 Global  annual reports and other publicly available information)
Volkswagen AG,Green,2024-11-19,1000000000,EUR,1062468000,Germany,0,Climate Bonds Aligned - Volkswagen AG. Largest Companies By Revenue (Fortune 500 Global  annual reports and other publicly available information)
Bank of China Ltd,Green,2024-10-29,300000000,USD,300000000,China,Commercial Bank,Climate Bonds Aligned - Bank of China Ltd. Largest Companies By Revenue (Fortune 500 Global  annual reports and other publicly available information)
Citigroup Inc,Green,2024-09-25,20000000,USD,20000000,USA,Financial,Climate Bonds Aligned - Citigroup Inc. Largest Companies By Revenue (Fortune 500 Global  annual reports and other publicly available information)
Bank of China Ltd,Green,2024-08-27,400000000,USD,400000000,China,Commercial Bank,Climate Bonds Aligned - Bank of China Ltd. Largest Companies By Revenue (Fortune 500 Global  annual reports and other publicly available information)
Volkswagen AG,Green,2024-08-14,500000000,EUR,546568500,Germany,0,Climate Bonds Aligned - Volkswagen AG. Largest Companies By Revenue (Fortune 500 Global  annual reports and other publicly available information)
Bank of China Ltd/Panama,Sustainability,2024-06-26,300000000,USD,300000000,China,Banks,Climate Bonds Aligned - Bank of China Ltd/Panama. Largest Companies By Revenue (Fortune 500 Global  annual reports and other publicly available information)
Bank of China Ltd/Hungarian,Sustainability,2024-06-26,500000000,USD,500000000,China,Banks,Climate Bonds Aligned - Bank of China Ltd/Hungarian. Largest Companies By Revenue (Fortune 500 Global  annual reports and other publicly available information)
Volkswagen AG,Green,2024-06-10,750000000,EUR,813599250,Germany,0,Climate Bonds Aligned - Volkswagen AG. Largest Companies By Revenue (Fortune 500 Global  annual reports and other publicly available information)
Volkswagen AG,Green,2024-06-10,700000000,EUR,759276700,Germany,0,Climate Bonds Aligned - Volkswagen AG. Largest Companies By Revenue (Fortune 500 Global  annual reports and other publicly available information)
Volkswagen AG,Green,2024-06-10,750000000,EUR,813580500,Germany,0,Climate Bonds Aligned - Volkswagen AG. Largest Companies By Revenue (Fortune 500 Global  annual reports and other publicly available information)
